Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-09-01T02:05:54+00:00,51.518281,-0.111596,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-09-01 02:05:54+00:00
Person search,2022-09-01T02:12:09+00:00,51.517846,-0.109164,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-09-01 02:12:09+00:00
Person search,2022-09-01T02:26:42+00:00,51.517846,-0.109164,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-09-01 02:26:42+00:00
Person and Vehicle search,2022-09-01T03:08:07+00:00,51.515178,-0.076716,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-09-01 03:08:07+00:00
Person search,2022-09-01T05:01:52+00:00,51.511196,-0.079521,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-01 05:01:52+00:00
Person and Vehicle search,2022-09-01T12:17:09+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-01 12:17:09+00:00
Person search,2022-09-01T15:44:57+00:00,51.517102,-0.088785,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-09-01 15:44:57+00:00
Person search,2022-09-01T18:16:46+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-01 18:16:46+00:00
Person search,2022-09-01T18:35:55+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-01 18:35:55+00:00
Person and Vehicle search,2022-09-01T18:49:03+00:00,51.510877,-0.07707,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-01 18:49:03+00:00
Person and Vehicle search,2022-09-01T19:10:50+00:00,51.520455,-0.078757,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,True,2022-09-01 19:10:50+00:00
Person and Vehicle search,2022-09-01T21:05:20+00:00,51.51844,-0.078755,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-09-01 21:05:20+00:00
Person search,2022-09-02T01:10:52+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-09-02 01:10:52+00:00
Person search,2022-09-02T04:01:16+00:00,51.515383,-0.078783,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-09-02 04:01:16+00:00
Person and Vehicle search,2022-09-02T05:18:15+00:00,51.515383,-0.078783,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-09-02 05:18:15+00:00
Person search,2022-09-02T05:36:44+00:00,51.515383,-0.078783,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-09-02 05:36:44+00:00
Person search,2022-09-02T20:19:12+00:00,51.515383,-0.078783,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-09-02 20:19:12+00:00
Person search,2022-09-02T21:03:39+00:00,51.515383,-0.078783,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-09-02 21:03:39+00:00
Person search,2022-09-02T23:07:47+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,False,False,2022-09-02 23:07:47+00:00
Person search,2022-09-02T23:54:46+00:00,,,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-09-02 23:54:46+00:00
Person search,2022-09-03T01:22:07+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,True,False,2022-09-03 01:22:07+00:00
Person and Vehicle search,2022-09-03T03:42:52+00:00,51.516869,-0.081113,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-09-03 03:42:52+00:00
Person search,2022-09-03T11:33:27+00:00,51.517785,-0.079907,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2022-09-03 11:33:27+00:00
Person search,2022-09-03T11:42:00+00:00,51.517785,-0.079907,Female,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2022-09-03 11:42:00+00:00
Person search,2022-09-03T14:08:54+00:00,51.510761,-0.101963,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,False,False,2022-09-03 14:08:54+00:00
Person search,2022-09-03T14:19:52+00:00,51.510761,-0.101963,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,False,False,2022-09-03 14:19:52+00:00
Person search,2022-09-03T14:34:09+00:00,51.513712,-0.104276,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2022-09-03 14:34:09+00:00
Person search,2022-09-03T14:46:52+00:00,51.513712,-0.104276,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2022-09-03 14:46:52+00:00
Person search,2022-09-03T20:03:55+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-09-03 20:03:55+00:00
Person search,2022-09-03T20:36:04+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-03 20:36:04+00:00
Person search,2022-09-04T00:41:35+00:00,,,Male,18-24,Firearms Act 1968 (section 47),Firearms,A no further action disposal,False,False,2022-09-04 00:41:35+00:00
Person search,2022-09-04T01:40:41+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-04 01:40:41+00:00
Person search,2022-09-04T02:43:37+00:00,51.517296,-0.081902,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-09-04 02:43:37+00:00
