Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2018-03-01T12:30:00+00:00,51.514203,-0.094628,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False,2018-03-01 12:30:00+00:00
Person search,2018-03-01T14:21:00+00:00,51.512888,-0.094482,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False,2018-03-01 14:21:00+00:00
Person search,2018-03-01T14:21:00+00:00,51.512888,-0.094482,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2018-03-01 14:21:00+00:00
Person search,2018-03-01T15:40:00+00:00,51.516814,-0.08162,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,False,False,2018-03-01 15:40:00+00:00
Person search,2018-03-01T16:09:00+00:00,51.514203,-0.094628,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,False,False,2018-03-01 16:09:00+00:00
Person search,2018-03-01T16:15:00+00:00,51.514203,-0.094628,Male,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,,2018-03-01 16:15:00+00:00
Person search,2018-03-01T18:00:00+00:00,,,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2018-03-01 18:00:00+00:00
Person search,2018-03-01T18:00:00+00:00,51.513627,-0.076435,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2018-03-01 18:00:00+00:00
Person search,2018-03-02T04:00:00+00:00,51.512678,-0.079444,Female,18-24,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,False,2018-03-02 04:00:00+00:00
Person search,2018-03-02T19:35:00+00:00,51.517244,-0.080376,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False,2018-03-02 19:35:00+00:00
Person search,2018-03-03T16:30:00+00:00,51.512598,-0.084967,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2018-03-03 16:30:00+00:00
Person search,2018-03-04T05:45:00+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,False,False,2018-03-04 05:45:00+00:00
Person search,2018-03-05T02:52:00+00:00,51.518226,-0.111497,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2018-03-05 02:52:00+00:00
Person search,2018-03-05T04:40:00+00:00,51.513627,-0.076435,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2018-03-05 04:40:00+00:00
Person search,2018-03-05T04:55:00+00:00,51.514151,-0.074958,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2018-03-05 04:55:00+00:00
Person search,2018-03-05T05:00:00+00:00,51.514457,-0.073849,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2018-03-05 05:00:00+00:00
Person search,2018-03-05T10:30:00+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False,2018-03-05 10:30:00+00:00
Person search,2018-03-05T10:41:00+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False,2018-03-05 10:41:00+00:00
Person search,2018-03-05T19:30:00+00:00,51.517431,-0.082458,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False,2018-03-05 19:30:00+00:00
Person and Vehicle search,2018-03-06T14:35:00+00:00,51.513171,-0.077694,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False,2018-03-06 14:35:00+00:00
Person and Vehicle search,2018-03-06T15:30:00+00:00,51.513171,-0.077694,Other,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False,2018-03-06 15:30:00+00:00
