Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-02-01T01:03:59+00:00,51.509848,-0.104494,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-01 01:03:59+00:00
Person search,2022-02-01T01:24:03+00:00,51.509848,-0.104494,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-02-01 01:24:03+00:00
Person search,2022-02-01T03:55:57+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-01 03:55:57+00:00
Person and Vehicle search,2022-02-01T07:47:53+00:00,51.51265,-0.101452,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-02-01 07:47:53+00:00
Person search,2022-02-01T08:27:06+00:00,51.511625,-0.081549,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2022-02-01 08:27:06+00:00
Person search,2022-02-01T12:59:10+00:00,51.509848,-0.104494,Female,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-01 12:59:10+00:00
Person and Vehicle search,2022-02-02T02:41:24+00:00,51.517576,-0.079786,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,True,2022-02-02 02:41:24+00:00
Person search,2022-02-02T03:01:36+00:00,51.513447,-0.093493,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-02-02 03:01:36+00:00
Person and Vehicle search,2022-02-02T04:51:21+00:00,51.516351,-0.082965,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-02-02 04:51:21+00:00
Person and Vehicle search,2022-02-02T06:38:39+00:00,51.509848,-0.104494,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-02 06:38:39+00:00
Person search,2022-02-02T06:44:53+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-02 06:44:53+00:00
Person search,2022-02-02T06:56:31+00:00,51.509848,-0.104494,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-02 06:56:31+00:00
Person and Vehicle search,2022-02-02T07:05:37+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2022-02-02 07:05:37+00:00
Person and Vehicle search,2022-02-02T07:49:59+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2022-02-02 07:49:59+00:00
Person search,2022-02-02T08:00:25+00:00,51.514547,-0.112039,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-02-02 08:00:25+00:00
Person and Vehicle search,2022-02-02T08:14:33+00:00,51.509848,-0.104494,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,True,False,2022-02-02 08:14:33+00:00
Person search,2022-02-02T09:16:34+00:00,51.511749,-0.108018,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,False,False,2022-02-02 09:16:34+00:00
Person and Vehicle search,2022-02-02T10:14:18+00:00,51.513171,-0.077694,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-02 10:14:18+00:00
Person search,2022-02-03T01:56:16+00:00,51.512388,-0.088075,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-02-03 01:56:16+00:00
Person search,2022-02-03T04:50:43+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-03 04:50:43+00:00
Person search,2022-02-03T04:58:01+00:00,51.515031,-0.100748,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-02-03 04:58:01+00:00
Person search,2022-02-04T02:50:01+00:00,51.516476,-0.111181,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-04 02:50:01+00:00
Person search,2022-02-04T03:46:29+00:00,51.518029,-0.082722,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-04 03:46:29+00:00
Person search,2022-02-04T06:38:06+00:00,51.517231,-0.079613,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-04 06:38:06+00:00
Person search,2022-02-04T06:56:42+00:00,51.513627,-0.076435,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-04 06:56:42+00:00
Person search,2022-02-04T06:58:54+00:00,51.512882,-0.084768,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2022-02-04 06:58:54+00:00
Person search,2022-02-04T07:07:33+00:00,51.513129,-0.094933,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2022-02-04 07:07:33+00:00
Person search,2022-02-04T07:18:51+00:00,51.509848,-0.104494,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-02-04 07:18:51+00:00
Person search,2022-02-04T07:29:09+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-04 07:29:09+00:00
Person search,2022-02-04T08:30:05+00:00,51.516814,-0.08162,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-04 08:30:05+00:00
Person search,2022-02-04T08:36:05+00:00,51.514763,-0.075508,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-04 08:36:05+00:00
Person search,2022-02-04T08:37:26+00:00,,,Female,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-02-04 08:37:26+00:00
Person search,2022-02-04T08:59:46+00:00,51.517146,-0.098642,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-04 08:59:46+00:00
Person and Vehicle search,2022-02-04T09:02:42+00:00,51.513129,-0.094933,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-02-04 09:02:42+00:00
Person search,2022-02-04T09:22:37+00:00,51.514507,-0.081832,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-02-04 09:22:37+00:00
Person search,2022-02-05T03:52:53+00:00,51.515031,-0.100748,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2022-02-05 03:52:53+00:00
Person search,2022-02-05T06:17:26+00:00,51.512888,-0.094482,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-02-05 06:17:26+00:00
Person search,2022-02-05T06:26:36+00:00,51.512888,-0.094482,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-02-05 06:26:36+00:00
